,usuario,data,texto,sentimento
0,@usuario1,2023-06-01,O descarte de lixo na minha cidade melhorou muito com as novas políticas! #sustentabilidade,Positivo
1,@usuario2,2023-06-02,É um absurdo como o lixo é descartado aqui. Precisamos de mais fiscalização. #MeioAmbiente,Negativo
2,@usuario3,2023-06-03,Gostei da nova campanha de reciclagem! Muito mais fácil descartar meu lixo. #reciclagem,Positivo
3,@usuario4,2023-06-04,A situação do lixo na praia está insustentável. Falta educação ambiental! #sos,Negativo
4,@usuario5,2023-06-05,Ótima iniciativa da prefeitura com os novos pontos de coleta seletiva. #reciclar,Positivo
5,@usuario6,2023-06-06,Inacreditável o descaso com o lixo nas ruas. #vergonha,Negativo
6,@usuario7,2023-06-07,Adorei a campanha de conscientização sobre o descarte correto de lixo! #sustentabilidade,Positivo
7,@usuario8,2023-06-08,Precisamos de mais lixeiras públicas! #lixonasruas,Negativo
8,@usuario9,2023-06-09,Finalmente a coleta seletiva chegou ao meu bairro! #meioambiente,Positivo
9,@usuario10,2023-06-10,É lamentável a quantidade de lixo jogada nas praias. #sos,Negativo
10,@usuario11,2023-06-11,Muito bom ver a cidade mais limpa com a coleta seletiva. #reciclar,Positivo
11,@usuario12,2023-06-12,Descartar lixo corretamente é um dever de todos! #conscientização,Positivo
12,@usuario13,2023-06-13,O lixo está tomando conta das praças. Falta fiscalização! #descuidado,Negativo
13,@usuario14,2023-06-14,As novas lixeiras nas ruas são uma excelente iniciativa. #limpezaurbana,Positivo
14,@usuario15,2023-06-15,O governo precisa fazer mais pela coleta de lixo. #descaso,Negativo
15,@usuario16,2023-06-16,Fiquei feliz em ver a coleta seletiva funcionando no meu condomínio. #reciclagem,Positivo
16,@usuario17,2023-06-17,Triste ver tanto lixo nas praias. #sos,Negativo
17,@usuario18,2023-06-18,A campanha de reciclagem é ótima! Estou participando. #reciclar,Positivo
18,@usuario19,2023-06-19,Precisamos de mais educação sobre o descarte de lixo. #conscientização,Negativo
19,@usuario20,2023-06-20,Muito boa a iniciativa de pontos de coleta de lixo eletrônico. #sustentabilidade,Positivo
20,@usuario21,2023-06-21,O lixo acumulado nas ruas é um problema sério. #vergonha,Negativo
21,@usuario22,2023-06-22,Ótima a campanha sobre reciclagem nas escolas. #educaçãoambiental,Positivo
22,@usuario23,2023-06-23,Inaceitável o lixo sendo jogado nas calçadas. #desrespeito,Negativo
23,@usuario24,2023-06-24,Parabéns pela nova política de coleta seletiva. #meioambiente,Positivo
24,@usuario25,2023-06-25,"Mais lixeiras nas ruas, por favor! #limpezaurbana",Negativo
25,@usuario26,2023-06-26,A coleta seletiva mudou a cara do meu bairro. #reciclagem,Positivo
26,@usuario27,2023-06-27,O lixo nas praias continua um grande problema. #sos,Negativo
27,@usuario28,2023-06-28,Estou participando da coleta de lixo eletrônico. Ótima iniciativa! #sustentabilidade,Positivo
28,@usuario29,2023-06-29,"Mais campanhas de conscientização sobre o lixo, por favor. #educaçãoambiental",Negativo
29,@usuario30,2023-06-30,A prefeitura está de parabéns pela coleta seletiva. #meioambiente,Positivo
30,@usuario31,2023-07-01,É triste ver tanto lixo jogado nas ruas. #descaso,Negativo
31,@usuario32,2023-07-02,Excelente ver a cidade mais limpa com a coleta seletiva. #reciclar,Positivo
32,@usuario33,2023-07-03,Precisamos de mais lixeiras públicas! #lixonasruas,Negativo
33,@usuario34,2023-07-04,A coleta de lixo eletrônico é uma ótima iniciativa. #sustentabilidade,Positivo
34,@usuario35,2023-07-05,Inacreditável a quantidade de lixo nas praias. #sos,Negativo
35,@usuario36,2023-07-06,Gostei muito da campanha de conscientização sobre reciclagem. #educaçãoambiental,Positivo
